STOP_NAME,longitude,latitude
55-Adelaide St/Church St (Cremorne),144.99727507498045,-37.82895883202881
54-Cotter St/Church St (Cremorne),144.99719299660373,-37.83031783183996
53-Howard St/Church St (Richmond),144.99679987991223,-37.83265486227996
51-Malcolm St/Chapel St (South Yarra),144.99634808517274,-37.83635080290649
50-Toorak Rd/Chapel St (South Yarra),144.99550893103557,-37.83963481339828
49-Palermo St/Chapel St (South Yarra),144.99528609408196,-37.841558833660336
48-Cliff St/Chapel St (South Yarra),144.99465681738158,-37.84381981385958
47-Commercial Rd/Chapel St (Prahran),144.99403797076351,-37.84696288365884
46-Chatham St/Chapel St (Prahran),144.99368408276862,-37.84909282341669
45-High St/Chapel St (Prahran),144.99328879266406,-37.851942853178144
44-Duke St/Chapel St (Windsor),144.99283302563404,-37.85408881305904
43-Windsor Railway Station/Chapel St (Windsor),144.9924568190221,-37.85622685299941
42-Dandenong Rd/Chapel St (St Kilda East),144.99216089412835,-37.85790787299253
41-St Michaels Grammar School/Chapel St (St Kilda),144.9918790096953,-37.8595158130186
40-Alma Rd/Chapel St (St Kilda East),144.9915157725821,-37.861563853603556
39-Argyle St/Chapel St (St Kilda East),144.99119393713752,-37.86337888423135
38-Inkerman St/Chapel St (St Kilda East),144.99079686207116,-37.86542683490576
37-Chapel St/Carlisle St (Balaclava),144.99014094847206,-37.868236815763964
36-St Kilda Town Hall/Carlisle St (St Kilda),144.98869086989814,-37.86807688577866
37-Carlisle St/Chapel St (St Kilda),144.99023706879223,-37.86846388582443
36-Brighton Rd/Chapel St (St Kilda),144.98977987404973,-37.87107784654284
35-St Kilda Rd/Carlisle St (St Kilda),144.98657191210447,-37.867814805817396
34-Greeves St/Carlisle St (St Kilda),144.9840119550241,-37.86746488590025
33-Barkly St/Carlisle St (St Kilda),144.9810909187648,-37.86705385605325
38-Balaclava Station/Carlisle St (Balaclava),144.99424098518716,-37.86879283583038
39-Orange Gr/Carlisle St (Balaclava),144.9965190624872,-37.86905680618112
40-Hotham St/Carlisle St (Balaclava),144.9992950183712,-37.8694198667887
