streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
24 Cambridge Way,570.0,3.0,1.0,2.0,Bundoora,VIC,3083,House,"['Bundoora Primary School', 'Indie School Greensborough', 'Bundoora Secondary College', 'St John XXIII Primary School', 'Loyola College', ""St Damian's School"", 'Northside Christian College', 'Parade College', 'Our Lady of the Way School', ""St Mary's School"", 'St Francis of Assisi School', 'Ivanhoe Grammar School - University Campus']",FTTC,balanced age,
15 Rimington Avenue,820.0,3.0,1.0,2.0,Kew,VIC,3101,House,"['Preshil, The Margaret Lyttle Memorial School', ""St Anne's School"", 'Kew High School', 'Camberwell Girls Grammar School', 'Bulleen Heights School', 'Our Lady of Good Counsel School', 'Camberwell Girls Grammar School - Junior Campus', 'Camberwell Grammar School', 'Preshil, The Margaret Lyttle Memorial School - Blackhall-Kalimna Preshil Senior School', 'Carey Baptist Grammar School', 'Deepdene Primary School', 'Bulleen Heights School-Manningham Road Campus', 'Genazzano FCJ College', ""Ruyton Girls' School""]",FTTP,balanced age,"{'latitude': -37.8069182, 'longitude': 145.0587202}"
1104/70 Southbank Boulevard,600.0,1.0,1.0,0.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",,20 - 39,
1/158 Wattletree Rd,675.0,2.0,1.0,2.0,Malvern,VIC,3144,Apartment,"[""Lauriston Girls' School"", ""St Anthony's School - St Aloysius School Campus"", 'De La Salle College - Kinnoull Campus', 'The King David School - Junior School', ""Lauriston Girls' School - Blairholme Campus"", ""St Joseph's School"", 'Port Phillip Specialist School', 'Glen Eira College', ""St Aloysius' School"", 'The King David School - The Rebecca Magid Centre', 'MacKillop Specialist School - MacKillop Education Caulfield', 'Southern Autistic School', 'De La Salle College', 'Malvern Central School']",HFC,balanced age,"{'latitude': -37.8627191, 'longitude': 145.0295608}"
9-11 Chambers Street,1650.0,5.0,2.0,1.0,South Yarra,VIC,3141,House,"['Wesley College', 'Melbourne Girls College', 'Christ Church Grammar School', 'Kamaruka - Primary Campus', 'Kamaruka', 'Hester Hornbrook Academy - Prahran Campus', 'Geelong Grammar School - Toorak campus', 'Melbourne Grammar School', 'Wesley College - St Kilda Road Junior Campus', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Southern Autistic School', 'Toorak Primary School', 'Prahran High School']",,20 - 39,"{'latitude': -37.8408118, 'longitude': 144.9939691}"
87B Shaftesbury Parade,730.0,2.0,2.0,1.0,Thornbury,VIC,3071,Townhouse/Villa,"['Santa Maria College', 'Antonine College - Cedar Campus', 'Holy Spirit School', 'Croxton Special School', ""St John's College Preston"", 'Northcote High School', ""St Joseph's School"", 'Katandra School', 'Sacred Heart School', 'Thornbury Primary School', ""St Margaret Mary's School"", 'Parade College - Preston Campus', ""St Mary's School"", 'Fitzroy Community School - Thornbury Campus']",HFC,balanced age,"{'latitude': -37.7601801, 'longitude': 144.9939296}"
60 Britannia Street,510.0,2.0,2.0,1.0,Geelong West,VIC,3218,Townhouse/Villa,"['Ashby Primary School', 'Indie School Geelong', ""St Joseph's College Geelong - Westcourt Campus"", 'Holy Spirit Parish School', ""St Patrick's School"", 'SEDA College (Victoria) - BVNV Geelong', 'Clonard College', ""St John's Lutheran School Geelong"", 'SEDA College (Victoria) - Multi Geelong', ""Geelong Lutheran College - St John's Newtown Campus"", 'Nelson Park School', 'Sacred Heart College', 'Western Heights Secondary College', 'Matthew Flinders Girls Secondary College']",FTTN,balanced age,"{'latitude': -38.1340831, 'longitude': 144.3436883}"
313/6 Victoria St,630.0,1.0,1.0,1.0,St Kilda,VIC,3182,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', ""Christian Brothers' College - Balaclava Campus"", 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'St Kilda Park Primary School', 'Yesodei HaTorah College', 'Elwood College']",FTTB,balanced age,"{'latitude': -37.8641687, 'longitude': 144.9733138}"
4116/70 Southbank Boulevard,750.0,2.0,2.0,0.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",,20 - 39,"{'latitude': -37.8231578, 'longitude': 144.9639532}"
71 Bayview Street,780.0,2.0,1.0,0.0,Prahran,VIC,3181,House,"[""St Mary's College Melbourne - Edmund Rice Campus"", ""St Mary's College Melbourne - Presentation Campus"", 'The King David School - Junior School', 'Melbourne Girls College', 'Hester Hornbrook Academy - Prahran Campus', 'Our Lady of Lourdes School', 'Presentation College Windsor', 'Port Phillip Specialist School', 'Southern Autistic School', 'Toorak Primary School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', 'Loreto Mandeville Hall', 'The King David School']",HFC,balanced age,
