streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
7/30-32 Boronia Grove,950.0,4.0,2.0,2.0,Doncaster East,VIC,3109,Townhouse/Villa,"['Nunawading Christian College - Secondary', ""St Francis Xavier's School"", 'Blackburn High School', 'St Thomas the Apostle School', 'Our Lady of the Pines School', 'Berengarra School', 'Bulleen Heights School', ""St Philip's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', ""Ss Peter & Paul's School"", 'Beverley Hills Primary School', 'Bulleen Heights School-Manningham Road Campus', 'Nunawading Christian College - Primary']",,60+,"{'latitude': -37.7996711, 'longitude': 145.1558112}"
103 Derby Street,606.28,3.0,1.0,3.0,Tullamarine,VIC,3043,House,"['My College', 'Penola Catholic College', 'Overnewton Anglican Community College - Yirramboi Campus', 'SEDA College (Victoria) - Basketball Broadmeadows', 'Gladstone Park Secondary College', 'St Carlo Borromeo School', ""St Christopher's School"", ""St Dominic's School"", 'Sirius College - Meadow Fair Campus', 'Gladstone Park Primary School', 'Penola Catholic College - Glenroy Campus', 'School of the Good Shepherd']",FTTP,balanced age,
4 Bangalay Place,590.0,3.0,2.0,2.0,Berwick,VIC,3806,House,"['Berry Street School - Narre Warren Campus', ""St Michael's School"", 'Mary MacKillop School', 'Timbarra P-9 College', 'Baringa Special School', ""St Margaret's Berwick Grammar"", 'Insight Education Centre for the Blind and Vision Impaired', 'Berwick Lodge Primary School', 'Cire Community School Berwick Campus', 'Waverley Christian College - Narre Warren South Campus', 'Don Bosco School', 'Fountain Gate Secondary College', 'Oatlands Primary School', 'Foundation Learning Centre - Foundation College', 'Heritage College', 'Nepean Special School']",HFC,balanced age,"{'latitude': -38.0213008, 'longitude': 145.3233514}"
33 Moonstone Circuit,550.0,4.0,2.0,1.0,St Albans,VIC,3021,House,"['Hester Hornbrook Academy - Sunshine Campus', 'Jackson School', 'Mother of God School', 'Catholic Regional College St Albans', 'Sunshine Christian School', 'St Albans Secondary College', ""St Bernadette's School"", 'Sacred Heart School', ""St Theresa's School"", 'SEDA College (Victoria) - Melbourne City Sports Development Program - Cairnlea', 'Furlong Park School For Deaf Children', ""St Paul's Kealba Catholic School"", 'St Albans Meadows Primary School', 'Holy Eucharist School']",FTTC,balanced age,
59 Stroud Street,1150.0,4.0,3.0,2.0,Balwyn,VIC,3103,House,"[""St Paul's College"", 'Balwyn High School', 'Our Holy Redeemer School', 'Balwyn North Primary School', 'Bulleen Heights School', 'Camberwell Grammar School', 'Our Lady of Good Counsel School', ""St Bridget's School"", 'Camberwell Girls Grammar School - Junior Campus', ""Fintona Girls' School"", 'Bulleen Heights School-Manningham Road Campus', 'Genazzano FCJ College', ""St Bede's School""]",HFC,balanced age,"{'latitude': -37.804317, 'longitude': 145.0818008}"
101/154 Chapel Street,1.0,2.0,2.0,1.0,St Kilda,VIC,3182,Apartment,"['Beth Rivkah Ladies College', 'Adass Israel School - Glen Eira Road Campus', 'Cheder Levi Yitzchok Inc', 'Mount Scopus Memorial College - Gandel Besen House Campus', 'St Kilda Primary School', ""Christian Brothers' College - Balaclava Campus"", 'Yeshivah College', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",,balanced age,
330 Mackenzie Street,450.0,2.0,1.0,2.0,Golden Square,VIC,3555,House,"['Girton Grammar School', 'Golden Square Primary School', 'Crusoe 7-10 Secondary College', ""St Kilian's School"", ""St Peter's School"", ""St Joseph's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', ""St Monica's School"", 'OneSchool Global Vic - Bendigo Centre', 'Doxa School Bendigo', 'Creek Street Christian College', 'Girton Grammar School - Junior School']",FTTP,balanced age,
202/408 Lonsdale Street,450.0,0.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', 'Hester Hornbrook Academy - City Campus', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTB,20 - 39,"{'latitude': -37.8125979, 'longitude': 144.9604012}"
121/83 Whiteman Street,750.0,2.0,2.0,1.0,Southbank,VIC,3006,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Haileybury College - City Boys', 'Galilee Regional Catholic Primary School', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTB,20 - 39,"{'latitude': -37.8270114, 'longitude': 144.9559351}"
G10/5 Courtney Street,515.0,1.0,1.0,1.0,North Melbourne,VIC,3051,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', ""St Michael's Primary School"", 'Ozford College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTP,20 - 39,
1103/442 Elizabeth Street,600.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTP,20 - 39,"{'latitude': -37.8084101, 'longitude': 144.9607759}"
4/15 James Street,520.0,3.0,1.0,1.0,Dandenong,VIC,3175,Apartment,"['Dandenong North Primary School', 'Dandenong High School', 'SEDA College (Victoria) - Building and Construction - Dandenong', 'Ilim College - Doveton Campus', 'SEDA College (Victoria) - AFL Dandenong Campus - Dandenong Oasis', 'SEDA College (Victoria) - Basketball - Dandenong', ""St Gerard's School"", 'Maranatha Christian School - Doveton Campus', 'Southern Autistic School', ""St Mary's College for the Deaf - Dandenong Campus"", ""St Mary's School"", 'Community College Gippsland Ltd | ECG Secondary College - ECG Secondary College - Dandenong Campus', ""St John's Regional College""]",HFC,balanced age,
2 Limestone Court,600.0,3.0,2.0,2.0,Mildura,VIC,3500,House,"[""St Joseph's College Mildura - Mercy Campus"", 'Trinity Lutheran College', ""St Paul's Primary School"", ""St Joseph's College Mildura - VCAL Precinct Campus"", 'Henderson College', 'Mildura Senior College', 'Sacred Heart School', 'Indie School Wodonga - Indie School Mildura Campus', 'Chaffey Secondary College', ""St Joseph's College Mildura"", 'Ranfurly Primary School']",FTTP,balanced age,
85/173 City Road,570.0,1.0,1.0,0.0,Southbank,VIC,3006,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Galilee Regional Catholic Primary School', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTB,20 - 39,
5/91 Grant St,360.0,2.0,1.0,1.0,Sebastopol,VIC,3356,House,"['Emmaus Catholic Primary School', 'Damascus College', ""St James' School"", 'Ballarat Clarendon College', 'Sebastopol Primary School', 'Delacombe Primary School', ""St Patrick's School"", ""St Aloysius' School"", ""St Patrick's College"", 'Sovereign Hill School', 'Berry Street School - Ballarat Campus', 'Phoenix P-12 Community College', 'Lumen Christi School', 'Ballarat Christian College', 'Mount Clear College-G Place Campus']",FTTN,balanced age,
19/170 St Kilda Road,875.0,2.0,2.0,1.0,St Kilda,VIC,3182,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Cheder Levi Yitzchok Inc', 'Hester Hornbrook Academy - Prahran Campus', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",HFC,balanced age,
2/58 Alexandra Parade,760.0,2.0,1.0,1.0,Clifton Hill,VIC,3068,House,"[""St John's School"", 'Deutsche Schule Melbourne', 'Clifton Hill Primary School', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Croxton Special School', 'Fitzroy High School', 'Fitzroy Community School', ""St Joseph's School"", 'Academy of Mary Immaculate', 'Sacred Heart School', 'Sophia Mundi Steiner School', 'Our Lady Help of Christians School', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTP,balanced age,
73 Budd Street,1450.0,3.0,2.0,1.0,Collingwood,VIC,3066,House,"[""St John's School"", 'Deutsche Schule Melbourne', 'Clifton Hill Primary School', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Holmes Grammar School', 'Fitzroy Community School', ""St Joseph's School"", 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Sophia Mundi Steiner School', 'Collingwood College', 'Hester Hornbrook Academy - North Fitzroy Campus']",HFC,20 - 39,
1907/7 Siddeley Street,700.0,1.0,1.0,0.0,Docklands,VIC,3008,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Galilee Regional Catholic Primary School', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8215124, 'longitude': 144.9545467}"
15 Janet St,900.0,4.0,3.0,3.0,Keilor East,VIC,3033,Townhouse/Villa,"['Our Lady of the Nativity School', 'Essendon Keilor College', ""St Bernard's College"", ""St Margaret's Primary School"", 'Resurrection House', ""St Christopher's School"", 'St Martin de Porres School', 'Rosamond Special School', ""St John Bosco's School"", 'Furlong Park School For Deaf Children', ""St Peter's School"", 'Keilor Heights Primary School', 'Penleigh & Essendon Grammar School', 'Ave Maria College']",HFC,balanced age,
2/75 Eva St,675.0,2.0,1.0,2.0,Clayton,VIC,3168,Townhouse/Villa,"['Christway College', 'Minaret College', ""Sacred Heart Girls' College"", 'Christ Our Holy Redeemer School', 'St James College', 'Sacred Heart School', ""St Andrew's School"", 'South Oakleigh Secondary College', 'Southern Autistic School', ""St Peter's School"", 'Fitra Community School', 'Clarinda Primary School', 'SEDA College (Victoria) - AFL - Clayton']",FTTP,balanced age,
912/65 Dudley Street,650.0,2.0,1.0,0.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'Hester Hornbrook Academy - City Campus', 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTP,20 - 39,"{'latitude': -37.8101364, 'longitude': 144.9503935}"
206/49-51 Rathdowne Street,350.0,0.0,1.0,0.0,Carlton,VIC,3053,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Sacred Heart School', 'Simonds Catholic College']",,20 - 39,
1/17 View Street,690.0,3.0,2.0,1.0,Pascoe Vale,VIC,3044,Townhouse/Villa,"['Corpus Christi School', 'SEDA College (Victoria) - AFL Victoria & Cricket Australia Sports Development Program - Strathmore', 'St Francis de Sales School', 'Antonine College', 'Glenroy Private', ""St Oliver Plunkett's School"", 'Pascoe Vale Girls Secondary College', 'Penola Catholic College - Glenroy Campus', 'Australian International Academy of Education - Senior Campus', 'Strathmore North Primary School', ""St Vincent de Paul's School"", ""St Thomas More's School"", 'Strathmore Secondary College']",FTTC,balanced age,
3 McDonald Street,520.0,3.0,2.0,4.0,Werribee,VIC,3030,House,"['Bethany Catholic Primary School', 'MacKillop Catholic Regional College', 'Heathdale Christian College', 'Corpus Christi School', 'Werribee Community College', 'St Peter Apostle School', 'Werribee Primary School', ""St Joseph's Catholic Primary School"", ""St Andrew's School"", 'SEDA College (Victoria) - AFL - Werribee', 'Werribee Secondary College', 'Werribee Community College - The Cottage']",FTTC,balanced age,
2/9 Acacia Street,740.0,3.0,2.0,1.0,Bendigo,VIC,3550,House,"['Girton Grammar School', ""St Kilian's School"", ""St Peter's School"", 'Weeroona College Bendigo', 'SEDA College (Victoria) - Multi Bendigo', ""St Joseph's School"", ""St Therese's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', 'Bendigo Primary School', 'Doxa School Bendigo', 'Creek Street Christian College', 'Girton Grammar School - Junior School']",FTTN,balanced age,
1/2 Lumley Court,1800.0,3.0,2.0,2.0,Prahran,VIC,3181,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Our Lady of Lourdes School', 'The King David School', 'Cheder Levi Yitzchok Inc', 'Hester Hornbrook Academy - Prahran Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTP,balanced age,
45 South Street,390.0,3.0,1.0,1.0,Belmont,VIC,3216,House,"[""St Joseph's Flexible Learning Centre - Geelong Campus"", 'The Geelong College', 'Belmont High School', 'Clairvaux Catholic School', ""St Joseph's College Geelong"", 'Christian College Institute of Senior Education', 'Geelong Grammar School - Bostock House Campus', 'Christian College Geelong - Junior School - Belmont', 'Roslyn Primary School', 'Sacred Heart College', 'Matthew Flinders Girls Secondary College', ""St Robert's School"", 'Christian College Geelong - Middle School - Highton']",FTTN,balanced age,"{'latitude': -38.1733833, 'longitude': 144.3322619}"
111 Market Street,650.0,3.0,2.0,1.0,Sale,VIC,3850,House,"['Gippsland Grammar - Second Campus', 'Sale College', ""St Mary's Primary School"", 'Catholic College Sale', 'Catholic College Sale - Sale Sion Campus', ""St Thomas' School"", 'Gippsland Grammar', 'Sale Primary School', 'Catholic College Sale - Cathedral Hall Campus']",FTTN,balanced age,
601/342-346 Centre Road,660.0,2.0,1.0,1.0,Bentleigh,VIC,3204,Apartment,"['Bentleigh West Primary School', 'Brighton Secondary College', 'Divrei Emineh', 'Kilvington Grammar School', 'Melbourne Montessori School - Brighton East Campus', 'Our Lady of the Sacred Heart College', 'Tombolo Academy', 'Mount Scopus Memorial College - Fink Karp Ivany Campus', ""St Kevin's School"", 'Southern Autistic School', 'Yesodei HaTorah College - Brighton Campus', ""St Finbar's School"", ""St Paul's School""]",,balanced age,
37 Cobden Street,880.0,2.0,1.0,0.0,South Melbourne,VIC,3205,House,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - South Melbourne', 'Christ Church Grammar School', 'Youth2Industry College', 'Melbourne Grammar School', 'South Melbourne Park Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTN,20 - 39,
1708/199 William Street,530.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', 'Hester Hornbrook Academy - City Campus', 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTP,20 - 39,
51/949 Dandenong Road,375.0,1.0,1.0,0.0,Malvern East,VIC,3145,Apartment,"['Sacre Coeur', 'Lloyd Street Primary School', 'Melbourne Montessori School - Grange Road Campus', 'The Currajong School', 'Glen Eira College', 'Port Phillip Specialist School', ""St Anthony's School"", 'De La Salle College - Holy Eucharist Campus', ""St Aloysius' School"", 'MacKillop Specialist School - MacKillop Education Caulfield', 'Southern Autistic School', ""Korowa Anglican Girls' School"", ""St Mary's School"", 'Caulfield Grammar School - Malvern Campus']",FTTB,20 - 39,
